master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	inclusion_rationale	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
25036	gossypol	BRD-K19295594	3.70E+01	clinical	CTEP;pilot-set	BCL2;BCL2L1;LDHA;LDHB;LDHC	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	ChemDiv Inc.;Sigma-Aldrich	N010-0015;G8761	CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
25334	chlorambucil	BRD-K29458283	2.70E+02	FDA	std-of-care		DNA alkylator	Sigma-Aldrich	C0253	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
25344	fluorouracil	BRD-K24844714	1.30E+02	FDA	std-of-care	TYMS	pyrimidine analog; inhibitor of thymidylate synthase	Selleck	S1209	Fc1c[nH]c(=O)[nH]c1=O
25393	isoliquiritigenin	BRD-K33583600	3.30E+01	probe	pilot-set		natural product	MicroSource Discovery Systems Inc.	01504200	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
26870	cimetidine	BRD-K34157611	2.70E+02	FDA	lit-search	HRH2	inhibitor of histidine receptor H2	Tocris Bioscience	0902	CN\C(NCCSCc1nc[nH]c1C)=N/C#N
26874	azacitidine	BRD-K03406345	6.60E+01	FDA	CTEP;std-of-care	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1782	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
26914	trifluoperazine	BRD-K89732114	3.30E+01	FDA	pilot-set	DRD2	antagonist of dopamine receptor D2	Toronto Research Chemicals	T779200	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
26956	paclitaxel	BRD-A28746609	6.60E+01	FDA	std-of-care		inhibitor of microtubule assembly	Selleck	S1150	CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)C3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1
26972	tamoxifen	BRD-K93754473	1.00E+02	FDA	chromatin;std-of-care	ESR1;ESR2	modulator of estrogen receptors	Sigma-Aldrich	T5648	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1
26979	carboplatin	BRD-K11626735	6.60E+01	FDA	std-of-care		inducer of DNA damage	Selleck	S1215	O=C1O[Pt]OC(=O)C11CCC1
27871	teniposide	BRD-A35588707	3.30E+01	FDA	pilot-set	TOP2A;TOP2B	inhibitor of topoisomerase II	MicroSource Discovery Systems Inc.	01504094	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@H](OC3[C@H](O)[C@H]2O)c2cccs2)c2cc3OCOc3cc12
27872	sildenafil	BRD-K50128260	5.30E+02	FDA	pilot-set	PDE5A	inhibitor of phosphodiesterase 5A	Toronto Research Chemicals	S435000	CCCc1nn(C)c2C(=O)NC(=Nc12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
27894	simvastatin	BRD-K22134346	3.30E+01	FDA	pilot-set	HMGCR	inhibitor of HMG-CoA reductase	Tocris Bioscience	1965	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
28172	parbendazole	BRD-K02407574	6.60E+01	probe	pilot-set		inhibitor of microtubule assembly	Sigma-Aldrich	PH009945	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1
28183	procarbazine	BRD-K13032584	6.60E+01	FDA	std-of-care		inducer of DNA damage	Selleck	S1995	CNNCc1ccc(cc1)C(=O)NC(C)C
28452	curcumin	BRD-K74148702	1.70E+02	clinical	pilot-set		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Cayman	81025	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
28784	ciclopirox	BRD-K13044802	6.60E+01	FDA	lit-search	RRM1	substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase	Sigma-Aldrich	C0415	Cc1cc(C2CCCCC2)n(O)c(=O)c1
28801	epigallocatechin-3-monogallate	BRD-K55591206	3.00E+02	probe	pilot-set		natural product	Selleck	S2250	Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1
29985	myricetin	BRD-K43149758	6.60E+01	probe	lit-search		flavonoid antioxidant	Selleck	S2326	Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
30371	methotrexate	BRD-K59456551	6.60E+01	FDA	std-of-care	DHFR	inhibitor of dihydrofolate reductase	Selleck	S1210	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
30620	lovastatin	BRD-A70155556	1.30E+02	FDA	pilot-set	HMGCR	inhibitor of HMG-CoA reductase	AnalytiCon Discovery GmbH	NP-001236	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
32372	valdecoxib	BRD-K12994359	6.00E+02	FDA	pilot-set	PTGS2	inhibitor of cyclooxygenase-2 (COX2)	Sigma-Aldrich;Sigma-Aldrich	PA0179;PZ0179	Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
32620	cyclophosphamide	BRD-A09722536	1.30E+02	FDA	std-of-care		DNA alkylator	Sigma-Aldrich	C0768	ClCCN(CCCl)P1(=O)NCCCO1
32622	dacarbazine	BRD-K35520305	6.60E+01	FDA	std-of-care		DNA alkylator	Selleck	S1221	CN(C)\N=N\c1[nH]cnc1C(N)=O
32653	niclosamide	BRD-K35960502	3.30E+01	FDA	lit-search	STAT3	inhibitor of STAT3 signaling	Sigma-Aldrich	N3510	Oc1ccc(Cl)cc1C(=O)Nc1ccc(cc1Cl)[N+]([O-])=O
33166	prochlorperazine	BRD-K19352500	6.60E+01	FDA	lit-search	DRD2	inhibitor of dopamine receptor D2	Tocris Bioscience	3287	CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
35319	ifosfamide	BRD-A67097164	6.60E+01	FDA	std-of-care		DNA alkylator	Selleck	S1302	ClCCNP1(=O)OCCCN1CCCl
36599	doxorubicin	BRD-K92093830	6.60E+01	FDA	std-of-care	TOP2A	inhibitor of topoisomerase II	Selleck	S1208	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
37190	ouabain	BRD-K35708212	2.70E+02	probe	lit-search	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4	cardiac glycoside; inhibitor of the Na+/K+-ATPase	Tocris Bioscience	1076	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
37479	BRD9647	BRD-K05649647	3.30E+01	probe	pilot-set		screening hit	ChemBridge Corporation	7910659	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC
39782	piperlongumine	BRD-K24132293	3.30E+01	probe	pilot-set		natural product; modulator of ROS levels	Broad Institute of MIT and Harvard		COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O
42319	BRD-K26531177	BRD-K26531177	3.30E+02	probe	outreach		analog of the natural product piperlongumine	Broad Institute of MIT and Harvard		COc1cc(CCC(=O)N2CCC=CC2=O)cc(OC)c1OC
44503	NSC23766	BRD-A80213327	5.30E+02	probe	pilot-set	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	Cayman	13196	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1
44511	pyrazolanthrone	BRD-K01567962	6.60E+01	probe	kinome	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	Selleck	S1460	O=C1c2ccccc2-c2n[nH]c3cccc1c23
44554	C6-ceramide	BRD-K08608874	6.60E+01	probe	lit-search	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	Sigma-Aldrich	H6524	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC
44580	topotecan	BRD-K55696337	6.60E+01	FDA	std-of-care	TOP1	inhibitor of topoisomerase I	Selleck	S1231	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O
45093	N9-isopropylolomoucine	BRD-K71726959	4.00E+02	probe	chromatin;kinome;pilot-set	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	Enzo Life Sciences	ALX-270-397-M005	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12
46792	importazole	BRD-A02481876	2.00E+02	probe	pilot-set	KPNB1	inhibitor of importin	Vitas-M Laboratory Ltd.;EMD Biosciences	STK171852;401105	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
48589	etoposide	BRD-K37798499	2.80E+01	FDA	pilot-set;std-of-care	TOP2A	inhibitor of topoisomerase II	Selleck	S1225	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
50131	PRIMA-1	BRD-K15318909	1.70E+02	probe	pilot-set	TP53	re-activator of the pro-apoptotic activity of mutant p53	Tocris Bioscience	1862	OCC1(CO)N2CCC(CC2)C1=O
50134	tanespimycin	BRD-K81473043	3.30E+01	clinical	pilot-set	HSP90AA1	inhibitor of HSP90	Tocris Bioscience	1515	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
50140	blebbistatin	BRD-A75817871	1.30E+02	probe	pilot-set	MYH1;MYH2	inhibitor of myosin II ATPases	Cayman	13165	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
50163	cytochalasin B	BRD-K26664453	3.30E+01	probe	pilot-set		inhibitor of actin polymerization	Sigma-Aldrich	C6762	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
50715	NSC95397	BRD-K68143200	3.30E+01	probe	pilot-set	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	Sigma-Aldrich	N1786	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
50727	manumycin A	BRD-K78599730	3.00E+01	probe	pilot-set	FNTA;FNTB	inhibitor of RAS farnesyltransferase	Sigma-Aldrich	M6418	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
50732	mitomycin	BRD-K59670716	5.00E+01	FDA	pilot-set;std-of-care		DNA crosslinker	Sigma-Aldrich	M0440	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
50737	tacrolimus	BRD-K69608737	7.40E+01	FDA	pilot-set	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	Selleck	S5003	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
50747	pifithrin-alpha	BRD-K66874953	2.30E+02	probe	pilot-set		inhibitor of p53-dependent signaling	Cayman	13326	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N
50753	SB-431542	BRD-K67298865	6.60E+01	probe	kinome	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S1067	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
50769	staurosporine	BRD-K17953061	3.30E+00	probe	lit-search		inhibitor of multiple kinases	Sigma-Aldrich;LC Laboratories	S4400;S-9300	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
52123	SB-225002	BRD-K61323504	3.70E+01	probe	pilot-set	CXCR2	inhibitor of chemokine receptor 2	ChemDiv Inc.	K815-2000	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O
52133	PD 153035	BRD-K26603252	3.30E+01	probe	kinome	EGFR	inhibitor of EGFR	Selleck	S1079	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
52430	cerulenin	BRD-K52075040	1.50E+02	probe	pilot-set	FASN;HMGCS1	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	Cayman	10005647	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O
52576	purmorphamine	BRD-K73397362	1.50E+02	probe	pilot-set	SMO	activator of smoothened receptor	Tocris Bioscience;Cayman	10009634;10009634	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
52582	GSK-3 inhibitor IX	BRD-K04923131	6.60E+01	probe	kinome		inhibitor of JAK/STAT signaling	Tocris Bioscience	3194	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12
52882	dasatinib	BRD-K49328571	6.60E+01	FDA	CTEP;kinome;std-of-care	EPHA2;KIT;LCK;SRC;YES1	inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK	Selleck	S1021	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
52926	gefitinib	BRD-K64052750	6.60E+01	FDA	chromatin;CTEP;kinome;std-of-care	AKT1;EGFR	inhibitor of EGFR and AKT1	Selleck	S1025	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
52928	erlotinib	BRD-K70401845	6.60E+01	FDA	CTEP;kinome;std-of-care	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1023	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
53556	BRD-K94991378	BRD-K94991378	8.30E+01	probe	DOS;outreach		inducer of ROS	Broad Institute of MIT and Harvard		COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC
53705	BIX-01294	BRD-K26818574	3.30E+01	probe	chromatin;pilot-set	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
54200	tacedinaline	BRD-K52313696	3.30E+01	probe	chromatin;lit-search;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
54210	LBH-589	BRD-K02130563	6.60E+01	clinical	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1
55307	IC-87114	BRD-K75430629	6.60E+01	probe	kinome	PIK3CD	inhibitor of PI3K catalytic subunit delta	Selleck	S1268	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
55512	ciclosporin	BRD-A38030642	3.30E+01	FDA	pilot-set	PPID	inhibitor of calcineurin by binding to cyclophilin D	Tocris Bioscience	1101	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
56554	vorinostat	BRD-K81418486	3.30E+01	FDA	chromatin;CTEP;pilot-set;std-of-care	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Toronto Research Chemicals	S688700	ONC(=O)CCCCCCC(=O)Nc1ccccc1
56703	sirolimus	BRD-K84937637	3.30E+01	FDA	kinome	MTOR	inhibitor of mTOR	Selleck	S1039	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
58339	KU-55933	BRD-K25311561	6.60E+01	probe	kinome	ATM	inhibitor of ataxia telangiectasia mutated (ATM)	Selleck	S1092	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
58442	sitagliptin	BRD-K19416115	6.60E+01	FDA	outreach	DPP4	inhibitor of dipetidyl peptidase-4	Selleck	S4002	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
58455	AM-580	BRD-K06854232	5.30E+02	probe	chromatin;pilot-set	RARA	agonist of retinoic acid receptor alpha	Sigma-Aldrich	A8843	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
58472	PDMP	BRD-K05653692	2.10E+02	probe	pilot-set	UGCG	inhibitor of ceramide glucosyltransferase	Enzo Life Sciences	BML-SL210	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
58566	BRD-K71935468	BRD-K71935468	8.30E+01	probe	DOS;outreach		inducer of ROS	Broad Institute of MIT and Harvard		COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC
58948	MG-132	BRD-K60230970	2.00E+01	probe	lit-search	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of the proteosome	Selleck;Broad Institute of MIT and Harvard	S2619	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
60218	entinostat	BRD-K77908580	6.60E+01	clinical	chromatin;CTEP;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
60225	belinostat	BRD-K17743125	6.60E+01	clinical	chromatin;CTEP	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Selleck	S1085	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
60679	BEC	BRD-K53792571	2.70E+02	probe	pilot-set	ARG1;ARG2	inhibitor of arginase I and II	EMD Biosciences	197900	N[C@H](CSCCB(O)O)C(O)=O
61097	apicidin	BRD-K64606589	3.30E+01	probe	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Fermentek Ltd	Fermentek-AC001	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O
61674	Merck60	BRD-K04466929	3.30E+01	probe	chromatin;pilot-set	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1
61724	BRD-A94377914	BRD-A94377914	3.30E+01	probe	chromatin;outreach	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1
61775	FGIN-1-27	BRD-K09778810	3.30E+01	probe	pilot-set	TSPO	activator of peripheral benzodiazepine receptor/translocator protein	Tocris Bioscience	0658	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1
62111	compound 1B	BRD-A42556028	6.60E+01	probe	chromatin;outreach		screening hit	Enamine Ltd.	T0503-7331	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C
62602	vincristine	BRD-K82109576	1.30E+02	FDA	std-of-care		inhibitor of mictrotubule assembly	Selleck	S1241	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
62690	cytarabine hydrochloride	BRD-K33106058	6.60E+01	FDA	std-of-care		inducer of DNA damage	Selleck	S1648	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
63349	itraconazole	BRD-A34817987	1.70E+01	FDA	pilot-set		anti-fungal agent; inhibitor of hedgehog signaling pathway	Sigma-Aldrich	I6657	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
63578	erastin	BRD-A25004090	6.60E+01	probe	pilot-set	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	Sigma-Aldrich	E7781	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
96171	ML031	BRD-K38985961	5.30E+02	probe	pilot-set	S1PR2	inhibitor of sphingosine 1-phosphate receptor 2	Enamine Ltd.	Z19746470	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1
100490	CIL56	BRD-K11740178	2.50E+00	probe	pilot-set		screening hit	Columbia University		ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1
102193	FQI-1	BRD-A91658086	3.30E+01	probe	pilot-set		inhibitor of LSF1-mediated transcription	Boston University		CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12
119769	BRD-K92856060	BRD-K92856060	3.30E+01	probe	DOS;outreach		screening hit	ChemBridge Corporation	7653590	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12
122255	B02	BRD-K10882151	1.30E+02	probe	chromatin;pilot-set	RAD51	inhibitor of RAD51	Vitas-M Laboratory Ltd.	STK856883	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12
142931	BRD-K45681478	BRD-K45681478	6.60E+01	probe	DOS;outreach		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		ClC1=C(NCC=C)C(=O)c2ccccc2C1=O
153820	ML050	BRD-A83255679	6.60E+01	probe	pilot-set	GPER1	antagonist of GPR30	Asinex Ltd.	BAS 02002358	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12
154846	ML162	BRD-A36275421	3.30E+01	probe	pilot-set		selectively kills engineered cells expressing mutant HRAS	ChemDiv Inc.	K784-3185	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
176181	CIL41	BRD-K05392795	1.60E+02	probe	pilot-set		screening hit	Columbia University		N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1
