"unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","MCLP.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","MCLP.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","NCI.Sarcoma.cellid"
"253J-BV","Bladder/Urinary Tract","","253J-BV","","","","","","","253J-BV","253J-BV","","","253JBV","","","","253JBV_URINARY_TRACT","","","urinary_tract","","","","","","urinary_tract","","","","urinary_tract","urinary_tract","","","","","","","","urinary_tract","","CVCL_7937","253JBV_15_2019","","urinary_tract","Bladder carcinoma","Cancer cell line","TRUE","ACH-000026",""
"380","Lymphoid","380","","","","","","","","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","haematopoietic_and_lymphoid_tissue","","","","","","","","","","","","380192021_","","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","",NA,"",""
"42-MG-BA","CNS/Brain","","42-MG-BA","","","","","42-MG-BA","","42-MG-BA","42-MG-BA","42-MG-BA","","42MGBA","","42-MG-BA","","42MGBA_CENTRAL_NERVOUS_SYSTEM","","","central_nervous_system","","","","","Brain","central_nervous_system","","","","central_nervous_system","central_nervous_system","","central_nervous_system","42MGBA","central_nervous_system","","","","central_nervous_system","","CVCL_1798","42MGBA_16_2019","42-MG-BA","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000323",""
"451Lu","Skin","","","","","","","451Lu","451Lu","","","451Lu","","","","451Lu","","","","","","","","","","Skin","","","","","skin","","","skin","","","","","","","","CVCL_6357","451Lu_17_2019","451Lu","skin","Cutaneous melanoma","Cancer cell line","TRUE","ACH-001002",""
"537-mel","Skin","","","","","537 MEL","","","","","","","","","537 MEL","","","","","","","","","Skin","","","","","","","","","","","","","","","","","","CVCL_8052","537MEL_19_2019","","skin","Melanoma","Cancer cell line","TRUE","",""
"5637","Bladder/Urinary Tract","5637","5637","5637","","","5637","5637","","5637","5637","5637","","5637","","5637","","5637_URINARY_TRACT","","urinary_tract","urinary_tract","bladder","","","URINARY_TRACT","Bladder","urinary_tract","","","","urinary_tract","urinary_tract","","urinary_tract","5637","urinary_tract","","","","urinary_tract","","CVCL_0126","5637_20_2019","5637","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000905",""
"59M","Ovary/Fallopian Tube","","59M","","","59M","","","","59M","59M","","","","59M","","","","59M","","ovary","","","Ovary","","","ovary","","","","","","","","","","","","","","ovary","CVCL_2291","59M_21_2019","","ovary","High grade ovarian serous adenocarcinoma","Cancer cell line","TRUE","ACH-000520",""
"600MPE","Breast","","","","600MPE","","","","","","","","600mpe///mpe600","","","","","","","","","","breast","","","","","","2-mpe600///MPE600","breast","breast","","","","","","","","","","","CVCL_9875","600MPE_22_2019","","breast","Invasive ductal carcinoma, not otherwise specified","Cancer cell line","TRUE","ACH-002320",""
"624-mel","Skin","","","","","624 mel","","","","","","","","","624 mel","","","","","","","","","Skin","","","","","","","","","","","","","","","","","","CVCL_8054","624mel_23_2019","","skin","Melanoma","Cancer cell line","TRUE","",""
"639V","Bladder/Urinary Tract","639-V","639-V","639V","","","","639-V","","639-V","639-V","639-V","","639V","","639-V","","639V_URINARY_TRACT","","urinary_tract","urinary_tract","bladder","","","","Bladder","urinary_tract","urogenital_system","","","urinary_tract","urinary_tract","","urinary_tract","","","","","","urinary_tract","","CVCL_1048","639V_24_2019","639-V","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000973",""
"647V","Bladder/Urinary Tract","647-V","647-V","647V","","","","647-V","","647-V","647-V","647-V","","647V","","647-V","","647V_URINARY_TRACT","","urinary_tract","urinary_tract","bladder","","","","Bladder","urinary_tract","urogenital_system","","","urinary_tract","urinary_tract","","urinary_tract","647V","urinary_tract","","","","urinary_tract","","CVCL_1049","647V_25_2019","647-V","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000896",""
"697","Lymphoid","697","697","","","","","697","","697","697","697","","697","","697","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_0079","697_26_2019","697","haematopoietic_and_lymphoid_tissue","B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1)","Cancer cell line",NA,"ACH-000070",""
"769-P","Kidney","769-P","769-P","769P","","769-P","","769-P","","769-P","769-P","769-P","","769P","769-P","769-P","769-P","769P_KIDNEY","769P","kidney","kidney","kidney","","Kidney","","Kidney","kidney","kidney","","","kidney","kidney","Kidney","kidney","769P","kidney","","","Renal Cancer","kidney","kidney","CVCL_1050","769P_27_2019","769-P","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000411",""
"786-O","Kidney","786-0","786-O","786O","","786-O","","786-o","","786-O","786-O","786-0","","786O","786-O","786-0","786-0///RE.786.0","786O_KIDNEY","786O","kidney","kidney","kidney","","Kidney","","Kidney","kidney","","","","kidney","kidney","Kidney","kidney","786O","kidney","","","Renal Cancer///Renal","kidney","kidney","CVCL_1051","7860_28_2019","786-0","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000649",""
"8-MG-BA","CNS/Brain","8-MG-BA","8-MG-BA","","","","","8-MG-BA","","8-MG-BA","8-MG-BA","8-MG-BA","","8MGBA","","8-MG-BA","","8MGBA_CENTRAL_NERVOUS_SYSTEM","","central_nervous_system","central_nervous_system","","","","","CNS","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","","central_nervous_system","8MGBA","central_nervous_system","","","","central_nervous_system","","CVCL_1052","8MGBA_29_2019","8-MG-BA","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000137",""
"8305C","Thyroid","8305C","8305C","","","","","8305C","","8305C","8305C","8305C","","8305C","8305C","8305C","","8305C_THYROID","","thyroid","thyroid","","","","","Thyroid","thyroid","thyroid","","","thyroid","thyroid","Thyroid","thyroid","","","","","","thyroid","","CVCL_1053","8305C_30_2019","8305C","thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","Cancer cell line",NA,"ACH-001306",""
"8505C","Thyroid","8505C","8505C","","","","","8505C","","8505C","8505C","8505C","","8505C","8505C","8505C","","8505C_THYROID","","thyroid","thyroid","","","","","thyroid","thyroid","thyroid","","","thyroid","thyroid","Thyroid","thyroid","8505C","thyroid","","","","thyroid","","CVCL_1054","8505C_31_2019","8505C","thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","Cancer cell line",NA,"ACH-001307",""
"888-mel","Skin","","","","","888","","","","","","","","","888","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_4632","888mel_32_2019","","skin","Melanoma","Cancer cell line","TRUE","",""
"92-1 [Human uveal melanoma]","Eye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_8607","92-1 [Human uveal melanoma]362021_","","","","",NA,"ACH-001441",""
"93T449","Soft Tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_U614","93T449372021_","","","","",NA,"ACH-001794",""
"94T778","Soft Tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_U613","94T778382021_","","","","",NA,"ACH-001795",""
"9505BIK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9505BIK392021_","","","","",NA,"ACH-001999",""
"95T1000","Soft Tissue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_WU67","95T1000402021_","","","","",NA,"ACH-001796",""
"A-1207","CNS/Brain","","A1207","","","","","","","","","","","","","","","","","","central_nervous_system","","","","","","","","","","","","","","","","","","","","","CVCL_8481","A1207_35_2019","","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000283",""
"A-172","CNS/Brain","A172","A172","A172","","A172","","A172","","A172","A172","A172","","A172","A172","A172","","A172_CENTRAL_NERVOUS_SYSTEM","","central_nervous_system","central_nervous_system","brain","","Brain","","Brain","central_nervous_system","nervous_system","","","central_nervous_system","central_nervous_system","Brain","central_nervous_system","A172","central_nervous_system","","","","central_nervous_system","","CVCL_0131","A172_36_2019","A172","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000558",""
"A-172/H.Fine","","","","","","","","","","","","","","","","","A-172/H.Fine","","","","","","","","","","","","","","","","","","","","","","CNS Cancer","","","","A-172/H.Fine432021_","","","","",NA,"",""
"A-204","Soft Tissue","A204","A-204","A204","","","","A204","","A-204","A-204","A204","","A204","","A204","A-204","A204_SOFT_TISSUE","A204","soft_tissue","soft_tissue","muscle","","","","Muscle","soft_tissue","","","","soft_tissue","soft_tissue","","soft_tissue","A204","soft_tissue","","","Rhabdoid Tumor","rhabdoid","sarcoma","CVCL_1058","A204_37_2019","A204","soft_tissue","Embryonal rhabdomyosarcoma","Cancer cell line",NA,"ACH-000201","A-204"
"A-253","Head and Neck","A253","A-253","","","","","A253","","A-253","A-253","A253","","A253","A-253","A253","","","","skin","salivary_gland","","","","","H&N","skin","aero_digestive_tract","","","skin","salivary_gland","","skin","A253","salivary_gland","","","","","","CVCL_1060","A253_39_2019","A253","skin","Salivary gland squamous cell carcinoma","Cancer cell line",NA,"ACH-000740",""
"A-375","Skin","A375","A-375","A375","","A-375","A375","A375","","A-375","A-375","A375","","A375","A-375","A375","","A375_SKIN","A375","skin","skin","skin","","Skin","SKIN","Skin","skin","skin","","","skin","skin","Skin","skin","","","","","","skin","skin","CVCL_0132","A375_42_2019","A375","skin","Amelanotic melanoma","Cancer cell line",NA,"ACH-000219",""
"A-388","Skin","A388","","","","","","A388","A388","","","A388","","","A388","A388","","","","skin","","","","","","Unknown","","","","","skin","","","skin","","","","","","","","CVCL_1063","A388_43_2019","A388","skin","Squamous cell carcinoma","Cancer cell line",NA,"ACH-001442",""
"A-427","Lung","A427","A427","A427","","A-427","","A427","A427","","","A427","","","A-427","A427","","","A427","lung","","lung","","Lung","","Lung:NSCLC","","lung","","","lung","","","lung","","","","","","","lung","CVCL_1055","A427_45_2019","A427","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000757",""
"A-431","Other","A431","","A431","","A-431","","A431","A431","","","A431","","","A-431","A431","A431","","","skin","","skin","","Skin","","Skin","","","","","skin","","Skin","skin","","","","","Miscellaneous Tumors","","","CVCL_0037","A431_46_2019","A431","skin","Vulvar squamous cell carcinoma","Cancer cell line",NA,"ACH-001328",""
"A-498","Kidney","A498","A-498","A498","","A-498","","A498","","A-498","A-498","A498","","A498","A-498","A498","A498///RE.A498","","A498","kidney","kidney","kidney","","Kidney","","Kidney","kidney","kidney","","","kidney","kidney","Kidney","kidney","A498","kidney","","","Renal Cancer///Renal","","kidney","CVCL_1056","A498_47_2019","A498","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000555",""
"A-549","Lung","A549","A549","A549","","A549","A549","A549","","A549","A549","A549","","A549","A549","A549","A549/ATCC///LC.A549.ATCC","A549_LUNG","A549","lung","lung","lung","","Lung","LUNG","Lung:NSCLC","lung","lung","","","lung","lung","Lung","lung","","","","","Non-Small Cell Lung Cancer///Non-Small Cell Lung","lung","lung","CVCL_0023","A549_48_2019","A549","lung","Lung adenocarcinoma","Cancer cell line",NA,"ACH-000681","A549/ATCC"
"A-673","Bone","A673","A-673","A673","","A-673","","A673","","A-673","A-673","A673","","A673","A-673","A673","","A673_BONE","A673","bone","bone","muscle","","Skeletal Muscle","","Muscle","bone","soft_tissue","","","bone","bone","Muscle","bone","A673","bone","","","","bone","bone","CVCL_0080","A673_49_2019","A673","bone","Ewing sarcoma","Cancer cell line",NA,"ACH-000052","A-673"
"A-704","Kidney","A704","A-704","","","","","A704","","A-704","A-704","A704","","","","A704","","A704_KIDNEY","A704","kidney","kidney","","","","","Kidney","kidney","kidney","","","kidney","","","kidney","","","","","","kidney","kidney","CVCL_1065","A704_50_2019","A704","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000429",""
"A-C/EBP 3","","","","","","","","","","","","","","","","","A-C/EBP 3","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-C/EBP 3542021_","","","","",NA,"",""
"A-CREB 1","","","","","","","","","","","","","","","","","A-CREB 1","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-CREB 1552021_","","","","",NA,"",""
"A-CREB 2","","","","","","","","","","","","","","","","","A-CREB 2","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-CREB 2562021_","","","","",NA,"",""
"A-FOS 2","","","","","","","","","","","","","","","","","A-FOS 2","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-FOS 2572021_","","","","",NA,"",""
"A-FOS 3","","","","","","","","","","","","","","","","","A-FOS 3","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-FOS 3582021_","","","","",NA,"",""
"A-JUN 1","","","","","","","","","","","","","","","","","A-JUN 1","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-JUN 1592021_","","","","",NA,"",""
"A-JUN 3","","","","","","","","","","","","","","","","","A-JUN 3","","","","","","","","","","","","","","","","","","","","","","Miscellaneous Tumors","","","","A-JUN 3602021_","","","","",NA,"",""
"A101D","Skin","A101D","A101D","A101D","","","","A101D","","A101D","A101D","A101D","","A101D","","A101D","","A101D_SKIN","","skin","skin","skin","","","","Skin","skin","skin","","","skin","skin","","skin","A101D","skin","","","","skin","","CVCL_1057","A101D_34_2019","A101D","skin","Melanoma","Cancer cell line",NA,"ACH-000008",""
"A2058","Skin","A2058","A2058","","","A2058","","A2058","","A2058","A2058","A2058","","A2058","A2058","A2058","","A2058_SKIN","A2058","skin","skin","","","Skin","","Skin","skin","","","","skin","skin","Skin","skin","A2058","skin","","","","skin","skin","CVCL_1059","A2058_38_2019","A2058","skin","Amelanotic melanoma","Cancer cell line","TRUE","ACH-000788",""
"A2780","Ovary/Fallopian Tube","A2780","A2780","A2780","","A2780","A2780","A2780","","A2780","A2780","A2780","","A2780","A2780","A2780","","A2780_OVARY","A2780","ovary","ovary","ovary","","Ovary","OVARY","Ovary","ovary","urogenital_system","","","ovary","ovary","Ovary","ovary","A2780","ovary","","","","ovary","ovary","CVCL_0134","A2780_40_2019","A2780","ovary","Ovarian endometrioid adenocarcinoma","Cancer cell line",NA,"ACH-000657",""
"A3/Kawakami","Lymphoid","A3-KAW","A3/KAW","","","A3/KAW","","A3-KAW","","A3_KAW","A3_KAW","A3-KAW","","A3KAW","A3-KAW","A3-KAW","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1062","A3KAW_41_2019","A3-KAW","haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma","Cancer cell line",NA,"ACH-000697",""
"A375SKINCJ1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A375SKINCJ1652021_","","","","",NA,"ACH-002001",""
"A375SKINCJ2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A375SKINCJ2662021_","","","","",NA,"ACH-002002",""
"A375SKINCJ3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A375SKINCJ3672021_","","","","",NA,"ACH-002003",""
"A4/Fukuda","Lymphoid","A4-Fuk","A4/Fuk","","","A4/Fuk","","A4-Fuk","","A4_Fuk","A4_Fuk","A4-Fuk","","A4FUK","A4-Fuk","A4-Fuk","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","Blood","","Skin","haematopoietic_and_lymphoid_tissue","blood","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1064","A4Fuk_44_2019","A4-Fuk","haematopoietic_and_lymphoid_tissue","B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000157",""
"A673STAG2KO16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A673STAG2KO16692021_","","","","",NA,"ACH-001007",""
"A673STAG2KO45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A673STAG2KO45702021_","","","","",NA,"ACH-001008",""
"A673STAG2NT14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A673STAG2NT14712021_","","","","",NA,"ACH-001009",""
"A673STAG2NT23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A673STAG2NT23722021_","","","","",NA,"ACH-001010",""
"A7","Skin","","","A7","","","","","","","","","","","","","","","","","","skin","","","","","","","","","","","","","","","","","","","","","A7732021_","","skin","","",NA,"",""
"ABC-1","Lung","ABC-1","ABC-1","","","ABC-1","","ABC-1","","ABC-1","ABC-1","ABC-1","","","ABC-1","ABC-1","","ABC1_LUNG","","lung","lung","","","Lung","","Lung:NSCLC","lung","lung","","","lung","","Lung","lung","","","","","","lung","","CVCL_1066","ABC1_51_2019","ABC-1","lung","Lung adenocarcinoma","Cancer cell line","TRUE","ACH-000528",""
"ACC-MESO-1","Pleura","","ACC-MESO-1","","","","","","","ACC-MESO-1","ACC-MESO-1","","","ACCMESO1","","","","ACCMESO1_PLEURA","","","pleura","","","","","","pleura","","","","pleura","pleura","","","ACCMESO1","pleura","","","","mesothelioma","","CVCL_5113","ACCMESO1_52_2019","","pleura","Pleural epithelioid mesothelioma","Cancer cell line",NA,"ACH-000086",""
"ACCS","Bladder/Urinary Tract","","ACCS","","","","","","","","","","","","","","","","","","urinary_tract","","","","","","","","","","","","","","","","","","","","","CVCL_6876","ACCS_53_2019","","urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-001011",""
"ACHN","Kidney","ACHN","ACHN","ACHN","","ACHN","","ACHN","","ACHN","ACHN","ACHN","","ACHN","ACHN","ACHN","ACHN///RE.ACHN","ACHN_KIDNEY","ACHN","kidney","kidney","kidney","","Kidney","","Kidney","kidney","kidney","","","kidney","kidney","Kidney","kidney","ACHN","kidney","","","Renal Cancer///Renal","kidney","kidney","CVCL_1067","ACHN_54_2019","ACHN","kidney","Papillary renal cell carcinoma","Cancer cell line","TRUE","ACH-000046",""
"ACN","Peripheral Nervous System","ACN","","","","","","ACN","ACN","","","ACN","","","","","","","","autonomic_ganglia","","","","","","autonomic_ganglia","","nervous_system","","","autonomic_ganglia","","","autonomic_ganglia","","","","","","","","CVCL_1068","ACN_55_2019","","autonomic_ganglia","Neuroblastoma","Cancer cell line","TRUE","ACH-002389",""
"AGPN","CNS/Brain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CVCL_X981","AGPN792021_","","","","",NA,"ACH-001022",""
"AGS","Esophagus/Stomach","AGS","AGS","AGS","","AGS","AGS","AGS","","AGS","AGS","AGS","","AGS","AGS","AGS","","AGS_STOMACH","AGS","stomach","stomach","stomach","","Stomach","STOMACH","Stomach","stomach","digestive_system","","","stomach","stomach","Stomach","stomach","AGS","stomach","","","","gastric","stomach-oesophagus","CVCL_0139","AGS_56_2019","AGS","stomach","Gastric adenocarcinoma","Cancer cell line",NA,"ACH-000880",""
"ALL-PO","Lymphoid","ALL-PO","","","","","","ALL-PO","ALL-PO","","","ALL-PO","","","","ALL-PO","","","","haematopoietic_and_lymphoid_tissue","","","","","","Blood","","blood","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1069","ALLPO_58_2019","ALL-PO","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-002209",""
"ALL-SIL","Lymphoid","","ALL-SIL","","","","","ALL-SIL","","ALL-SIL","ALL-SIL","ALL-SIL","","ALLSIL","","ALL-SIL","","","","","haematopoietic_and_lymphoid_tissue","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","haematopoietic_and_lymphoid_tissue","","","","","","","","CVCL_1805","ALLSIL_59_2019","ALL-SIL","haematopoietic_and_lymphoid_tissue","Childhood T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000105",""
"AM-38","CNS/Brain","AM-38","AM-38","","","","","AM-38","","AM-38","AM-38","AM-38","","AM38","AM-38","AM-38","","","","central_nervous_system","central_nervous_system","","","","","CNS","central_nervous_system","","","","central_nervous_system","central_nervous_system","Brain","central_nervous_system","AM38","central_nervous_system","","","","","","CVCL_1070","AM38_60_2019","AM-38","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000269",""
"AML-193","Myeloid","AML-193","AML-193","","","","","","","AML-193","AML-193","","","AML193","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","","","","","CVCL_1071","AML193_61_2019","","haematopoietic_and_lymphoid_tissue","Childhood acute myeloid leukemia","Cancer cell line",NA,"ACH-000557",""
