GDSC.sampleid	GDSC.Sample_Name	CCLE.sampleid	GDSC.BROAD_ID	GDSC.RRID	CMP.model_id	CMP.sampleid	GDSC.COSMIC_ID	GDSC.Whole_Exome_Sequencing_(WES)	GDSC.Copy_Number_Alterations_(CNA)	GDSC.Gene_Expression	GDSC.Methylation	GDSC.DrugResponse	GDSC.Tissue_descriptor_1	GDSC.Tissuedescriptor_2	GDSC.Cancer_Type(matching_TCGA_label)	GDSC.Microsatellite_instability_Status_(MSI)	GDSC.Screen_Medium	GDSC.Growth_Properties	GDSC.tissue	GDSC.cancer_type	GDSC.cancer_type_ncit_id	GDSC.sample_site	GDSC.gender	GDSC.ethnicity	GDSC.age_at_sampling
NCI-H1963	NCI-H1963	NCIH1963_LUNG	ACH-000729	CVCL_1510	SIDM00760	SIDS00257	688010	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	Black	56
NCI-H2029	NCI-H2029	NCIH2029_LUNG	ACH-000298	CVCL_1516	SIDM00735	SIDS00264	688011	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Lymph node	Female	White	69
NCI-H209	NCI-H209	NCIH209_LUNG	ACH-000290	CVCL_1525	SIDM00706	SIDS00273	688013	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Bone marrow	Male	White	55
NCI-H2141	NCI-H2141	NCIH2141_LUNG	ACH-001138	CVCL_1534	SIDM00699	SIDS00280	688014	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Lymph node	Male	White	58
NCI-H2171	NCI-H2171	NCIH2171_LUNG	ACH-000525	CVCL_1536	SIDM00733	SIDS00283	688015	Y	Y	N	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Male	White	50
NCI-H2227	NCI-H2227	NCIH2227_LUNG	ACH-000610	CVCL_1542	SIDM00730	SIDS00287	688018	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Semi-Adherent	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	White	54
NCI-H345	NCI-H345	NCIH345_LUNG	ACH-001364	CVCL_1558	SIDM00719	SIDS00298	688021	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Bone marrow	Male	White	64
NCI-H378	NCI-H378	NCIH378_LUNG	ACH-002173	CVCL_1560	SIDM00915	SIDS00300	688022	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Female	White	66
NCI-H446	NCI-H446	NCIH446_LUNG	ACH-000800	CVCL_1562	SIDM00965	SIDS00302	688023	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Semi-Adherent	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Male	White	61
NCI-H526	NCI-H526	NCIH526_LUNG	ACH-000767	CVCL_1569	SIDM01128	SIDS00306	688025	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Bone marrow	Male	White	55
NCI-H64	NCI-H64	NCIH64_LUNG	ACH-001599	CVCL_1573	SIDM01126	SIDS00308	688026	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Female	Black	48
NCI-H69	NCI-H69	NCIH69_LUNG	ACH-000358	CVCL_1579	SIDM01121	SIDS00313	688027	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	White	55
NCI-H82	NCI-H82	NCIH82_LUNG	ACH-000355	CVCL_1591	SIDM01131	SIDS00319	688031	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Pleural effusion	Male	White	40
NCI-H2052	NCI-H2052	NCIH2052_PLEURA	ACH-000153	CVCL_1518	SIDM00713	SIDS00266	688058	Y	Y	Y	Y	Y	lung	mesothelioma	MESO	MSS/MSI-L	R	Adherent	Lung	Mesothelioma	C45663	Pleural effusion	Male	White	65
SK-N-DZ	SK-N-DZ	SKNDZ_AUTONOMIC_GANGLIA	ACH-000366	CVCL_1701	SIDM01100	SIDS00372	688086	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	D/F12	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Bone marrow	Female	White	2
SK-N-FI	SK-N-FI	SKNFI_AUTONOMIC_GANGLIA	ACH-000341	CVCL_1702	SIDM01099	SIDS00373	688087	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	D/F12	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Bone marrow	Male	White	11
VA-ES-BJ	VA-ES-BJ	VAESBJ_SOFT_TISSUE	ACH-001702	CVCL_1785	SIDM01179	SIDS00423	688121	Y	Y	Y	Y	Y	soft_tissue	soft_tissue_other	NA	MSS/MSI-L	D/F12	Adherent	Soft Tissue	Other Sarcomas	C3714	Bone marrow	Male	White	41
VMRC-LCD	VMRC-LCD	VMRCLCD_LUNG	ACH-001233	CVCL_1787	SIDM00320	SIDS01083	713869	Y	Y	Y	N	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	NA	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Male	Unknown	NA
LU-139	LU-139	LU139_LUNG	ACH-002052	CVCL_1390	SIDM00293	SIDS00684	713878	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	East Asian	63
SBC-5	SBC-5	SBC5_LUNG	ACH-000670	CVCL_1679	SIDM00368	SIDS01056	713880	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	D/F12	Adherent	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Unknown	Unknown	NA
SBC-1	SBC-1	SBC1_LUNG	ACH-002196	CVCL_1676	SIDM00365	SIDS01053	713885	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Unknown	Unknown	NA
LU-135	LU-135	LU135_LUNG	ACH-001549	CVCL_1389	SIDM00294	SIDS00683	713899	Y	Y	Y	Y	Y	lung_SCLC	lung_small_cell_carcinoma	SCLC	MSS/MSI-L	R	Suspension	Lung	Small Cell Lung Carcinoma	C4917	Unknown	Male	East Asian	69
SK-N-SH	SK-N-SH	SKNSH_AUTONOMIC_GANGLIA	ACH-000149	CVCL_0531	SIDM01098	SIDS00374	717431	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	D/F12	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Bone marrow	Female	Unknown	4
NCI-H2030	NCI-H2030	NCIH2030_LUNG	ACH-000521	CVCL_1517	SIDM00715	SIDS00265	722045	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Male	Unknown	0
NCI-H2122	NCI-H2122	NCIH2122_LUNG	ACH-000311	CVCL_1531	SIDM00702	SIDS00277	722046	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Pleural effusion	Female	White	46
NCI-H1734	NCI-H1734	NCIH1734_LUNG	ACH-000675	CVCL_1491	SIDM00739	SIDS00240	722058	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Female	Unknown	56
NCI-H650	NCI-H650	NCIH650_LUNG	ACH-000945	CVCL_1575	SIDM01124	SIDS00310	722066	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Unknown	Male	Unknown	NA
T-24	T-24	NA	NA	NA	NA	NA	724812	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	NA	NA	NA	NA	NA	NA	NA
NCI-H929	NCI-H929	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000050	CVCL_1600	SIDM01148	SIDS00324	724825	Y	Y	Y	Y	Y	myeloma	myeloma	MM	MSS/MSI-L	R	Suspension	Haematopoietic and Lymphoid	Plasma Cell Myeloma	C3242	Pleural Effusion	Female	White	62
SK-N-AS	SK-N-AS	SKNAS_AUTONOMIC_GANGLIA	ACH-000260	CVCL_1700	SIDM01101	SIDS00371	724828	Y	Y	Y	Y	Y	neuroblastoma	neuroblastoma	NB	MSS/MSI-L	D/F12	Adherent	Peripheral Nervous System	Neuroblastoma	C3270	Bone marrow	Female	White	6
NCI-H1299	NCI-H1299	NCIH1299_LUNG	ACH-000510	CVCL_0060	SIDM00649	SIDS00216	724831	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_large cell	NA	MSS/MSI-L	R	Adherent	Lung	Non-Small Cell Lung Carcinoma	C4450	Lymph node	Male	White	43
NCI-H2087	NCI-H2087	NCIH2087_LUNG	ACH-000841	CVCL_1524	SIDM00708	SIDS00271	724834	Y	Y	Y	Y	Y	lung_NSCLC	lung_NSCLC_adenocarcinoma	LUAD	MSS/MSI-L	D/F12	Semi-Adherent	Lung	Non-Small Cell Lung Carcinoma	C3512	Lymph node	Male	White	69
UM-UC-3	UM-UC-3	UMUC3_URINARY_TRACT	ACH-000522	CVCL_1783	SIDM01182	SIDS00422	724838	Y	Y	Y	Y	Y	urogenital_system	Bladder	BLCA	MSS/MSI-L	D/F12	Adherent	Bladder	Bladder Carcinoma	C4912	Urinary Bladder	Male	Unknown	NA
SW756	SW756	SW756_CERVIX	ACH-001402	CVCL_1727	SIDM01174	SIDS00398	724839	Y	Y	Y	Y	Y	urogenital_system	cervix	CESC	MSS/MSI-L	D/F12	Adherent	Cervix	Cervical Carcinoma	C27676	Unknown	Female	White	46
