unichem.ChEMBL	pubchem.CID	CCLE.treatmentid	CTRP.treatmentid	GDSC.treatmentid	gCSI.treatmentid	pubchem.MolecularFormula	pubchem.MolecularWeight	pubchem.InChIKey	pubchem.Title	unichem.ChEBI	unichem.FDA_SRS	unichem.LINCS	unichem.rxnorm	unichem.clinicaltrials	unichem.DrugBank	unichem.NIH_Clinical_Collection	unichem.PharmGKB	chembl.action_type	chembl.disease_efficacy	chembl.max_phase	chembl.mec_id	chembl.mechanism_of_action	chembl.target_chembl_id	chembl.site_id	chembl.parent_molecule_chembl_id
""	124202324		BRD-A94377914			C25H34N4O3S	470.6	IRRONVDGWKKBLQ-AIBWNMTMSA-N	(2S)-N-(1-methylpiperidin-2-yl)-2-(6-oxoheptyl)-N'-(4-phenyl-1,3-thiazol-2-yl)propanediamide	125308	""	LSM-36779	""	""	""	""	""								
CHEMBL2431768	24737642			LCL161		C26H33FN4O3S	500.6	UFPFGVNKHCLJJO-SSKFGXFMSA-N	(2S)-N-[(1S)-1-cyclohexyl-2-[(2S)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide	193137	6TNS415Y3P	LSM-45968	""	LCL 161,LCL161,LCL-161	DB12085	""	""								
CHEMBL379300	10172943			A-443654		C24H23N5O	397.5	YWTBGJGMTBHQTM-IBGZPJMESA-N	(2s)-1-(1h-Indol-3-Yl)-3-{[5-(3-Methyl-1h-Indazol-5-Yl)pyridin-3-Yl]oxy}propan-2-Amine	91351	""	LSM-1045	""	""	DB08073	""	""								
CHEMBL2325697	46244454			AZ20		C21H24N4O3S	412.5	SCGCBAAYLFTIJU-CQSZACIVSA-N	(3R)-4-[2-(1H-indol-4-yl)-6-(1-methylsulfonylcyclopropyl)pyrimidin-4-yl]-3-methylmorpholine	124915	""	LSM-36357	""	""	""	""	""								
""	54649381		BRD-K50799972			C33H36N4O4S	584.7	VTKOTAQLGFRVGB-PJVIOAIDSA-N	(3S)-2-[(S)-tert-butylsulfinyl]-3-(2-hydroxyethyl)-4-[3-(2-methoxyphenyl)phenyl]-N-(pyridin-4-ylmethyl)-1,3-dihydropyrrolo[3,4-c]pyridine-6-carboxamide	100149	""	LSM-11526	""	""	""	""	""								
CHEMBL4078100	118693659			AZD5153		C25H33N7O3	479.6	RSMYFSPOTCDHHJ-GOSISDBHSA-N	(3~{r})-4-[2-[4-[1-(3-Methoxy-[1,2,4]triazolo[4,3-B]pyridazin-6-Yl)piperidin-4-Yl]phenoxy]ethyl]-1,3-Dimethyl-Piperazin-2-One	""	C7C7U6YEAO	""	""	AZD-5153,AZD5153,AZD 5153	DB17018	""	""								
CHEMBL3814752	121271792			CPI-637		C22H22N6O	386.4	BFTKDWYIRJGJCA-CYBMUJFWSA-N	(4r)-4-Methyl-6-[1-Methyl-3-(1-Methyl-1h-Pyrazol-4-Yl)-1h-Indazol-5-Yl]-1,3,4,5-Tetrahydro-2h-1,5-Benzodiazepin-2-One	""	""	""	""	""	""	""	""								
CHEMBL1300397	7326481		BRD4132			C18H15N3O3S2	385.5	PMGRYRIPEBUYKR-NTEUORMPSA-N	(5E)-5-{[5-(1H-benzimidazol-2-ylthio)-2-furyl]methylene}-3-isopropyl-1,3-thiazolidine-2,4-dione	""	""	LSM-43108	""	""	""	""	""								
CHEMBL393929	135400873			RO-3306		C18H13N3OS2	351.4	XOLMRFUGOINFDQ-YBEGLDIGSA-N	(5Z)-5-(quinolin-6-ylmethylidene)-2-[(thiophen-2-ylmethyl)amino]-1,3-thiazol-4(5H)-one	""	""	LSM-42788	""	""	""	""	""								
""	44505237		BRD-K27986637			C25H37N5O5	487.6	DSHPDBIZJLDJKA-GLDPYIMESA-N	(8S,9R)-9-[[2,3-dihydro-1,4-benzodioxin-6-ylmethyl(methyl)amino]methyl]-6-[(2R)-1-hydroxypropan-2-yl]-8-methyl-10-oxa-1,6,13,14-tetrazabicyclo[10.2.1]pentadeca-12(15),13-dien-5-one	95424	""	LSM-6803	""	""	""	""	""								
CHEMBL1908397	11427553		KW-2449			C20H20N4O	332.4	YYLKKYCXAOBSRM-JXMROGBWSA-N	(E)-(4-(2-(1H-indazol-3-yl)vinyl)phenyl)(piperazin-1-yl)methanone	""	2D9N67F58G	LSM-42803	""	KW-2449,KW 2449	""	""	""	INHIBITOR	1	1	4252	Serine/threonine-protein kinase Aurora-A inhibitor	CHEMBL4722		CHEMBL1908397
CHEMBL1908397	11427553		KW-2449			C20H20N4O	332.4	YYLKKYCXAOBSRM-JXMROGBWSA-N	(E)-(4-(2-(1H-indazol-3-yl)vinyl)phenyl)(piperazin-1-yl)methanone	""	2D9N67F58G	LSM-42803	""	KW-2449,KW 2449	""	""	""	INHIBITOR	1	1	4253	Serine/threonine-protein kinase Aurora-B inhibitor	CHEMBL2185		CHEMBL1908397
CHEMBL1908397	11427553		KW-2449			C20H20N4O	332.4	YYLKKYCXAOBSRM-JXMROGBWSA-N	(E)-(4-(2-(1H-indazol-3-yl)vinyl)phenyl)(piperazin-1-yl)methanone	""	2D9N67F58G	LSM-42803	""	KW-2449,KW 2449	""	""	""	INHIBITOR	1	1	4254	Tyrosine-protein kinase receptor FLT3 inhibitor	CHEMBL1974		CHEMBL1908397
CHEMBL1908397	11427553		KW-2449			C20H20N4O	332.4	YYLKKYCXAOBSRM-JXMROGBWSA-N	(E)-(4-(2-(1H-indazol-3-yl)vinyl)phenyl)(piperazin-1-yl)methanone	""	2D9N67F58G	LSM-42803	""	KW-2449,KW 2449	""	""	""	INHIBITOR	1	1	4255	Tyrosine-protein kinase ABL inhibitor	CHEMBL1862		CHEMBL1908397
CHEMBL3752911	78243717			PFI-3		C19H19N3O2	321.4	INAICWLVUAKEPB-QSTFCLMHSA-N	(E)-1-(2-hydroxyphenyl)-3-((1R,4R)-5-(pyridin-2-yl)-2,5-diazabicyclo[2.2.1]heptan-2-yl)prop-2-en-1-one	149519	""	""	""	""	""	""	""								
CHEMBL3752911	78243717			PFI3		C19H19N3O2	321.4	INAICWLVUAKEPB-QSTFCLMHSA-N	(E)-1-(2-hydroxyphenyl)-3-((1R,4R)-5-(pyridin-2-yl)-2,5-diazabicyclo[2.2.1]heptan-2-yl)prop-2-en-1-one	149519	""	""	""	""	""	""	""								
CHEMBL525191	11717001		GDC-0879			C19H18N4O2	334.4	DEZZLWQELQORIU-RELWKKBWSA-N	(E)-5-(1-(2-hydroxyethyl)-3-(pyridin-4-yl)-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime	83405	E488J6BA6E	LSM-42801	""	""	""	""	""								
""	53302361			HG6-64-1		C32H34F3N5O2	577.6	UMBFDGUGXMOMHX-BQYQJAHWSA-N	(E)-N-(4-((4-Ethylpiperazin-1-yl)methyl)-3-(trifluoromethyl)phenyl)-3-(2-(4-methoxy-1H-pyrrolo[2,3-b]pyridin-5-yl)vinyl)-4-methylbenzamide	""	""	LSM-43248	""	""	""	""	""								
CHEMBL3590107	24866313			SCH772984		C33H33N9O2	587.7	HDAJDNHIBCDLQF-RUZDIDTESA-N	(R)-1-(2-oxo-2-(4-(4-(pyrimidin-2-yl)phenyl)piperazin-1-yl)ethyl)-N-(3-(pyridin-4-yl)-1H-indazol-5-yl)pyrrolidine-3-carboxamide	167670	""	LSM-45224	""	""	""	""	""								
CHEMBL3623290	78209992			AZD3759		C22H23ClFN5O3	459.9	MXDSJQHFFDGFDK-CYBMUJFWSA-N	(R)-4-((3-chloro-2-fluorophenyl)amino)-7-methoxyquinazolin-6-yl 2,4-dimethylpiperazine-1-carboxylate	""	67SX9H68W2	""	""	AZD-3759,AZD3759	DB14795	""	""	INHIBITOR	1	2	8102	Epidermal growth factor receptor erbB1 inhibitor	CHEMBL203		CHEMBL3623290
CHEMBL1908394	15983966		GSK461364			C27H28F3N5O2S	543.6	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	(R)-5-(6-((4-methylpiperazin-1-yl)methyl)-1H-benzo[d]imidazol-1-yl)-3-(1-(2-(trifluoromethyl)phenyl)ethoxy)thiophene-2-carboxamide	91333	8QO27TK6Q4	LSM-1013	""	GSK 461364,GSK-461364	""	""	""	INHIBITOR	1	1	4226	Serine/threonine-protein kinase PLK1 inhibitor	CHEMBL3024		CHEMBL1908394
CHEMBL3408248	52913813			AZD8186		C24H25F2N3O4	457.5	LMJFJIDLEAWOQJ-CQSZACIVSA-N	(R)-8-(1-((3,5-difluorophenyl)amino)ethyl)-N,N-dimethyl-2-morpholino-4-oxo-4H-chromene-6-carboxamide	""	AIQ4OWD0RA	""	""	AZD 8186,AZD-8186,AZD8186	DB15029	""	""	INHIBITOR	1	1	4150	PI3-kinase p110-beta subunit inhibitor	CHEMBL3145		CHEMBL3408248
CHEMBL3408248	52913813			AZD8186		C24H25F2N3O4	457.5	LMJFJIDLEAWOQJ-CQSZACIVSA-N	(R)-8-(1-((3,5-difluorophenyl)amino)ethyl)-N,N-dimethyl-2-morpholino-4-oxo-4H-chromene-6-carboxamide	""	AIQ4OWD0RA	""	""	AZD 8186,AZD-8186,AZD8186	DB15029	""	""	INHIBITOR	1	1	4151	PI3-kinase p110-delta subunit inhibitor	CHEMBL3130		CHEMBL3408248
CHEMBL2048872	58423153			AZD1208		C21H21N3O2S	379.5	MCUJKPPARUPFJM-UWCCDQBKSA-N	(R,Z)-5-((2-(3-aminopiperidin-1-yl)-[1,1'-biphenyl]-3-yl)methylene)thiazolidine-2,4-dione	""	S98NFM1378	LSM-45651	""	""	""	""	""								
CHEMBL1957266	46907787		JQ-1	JQ1	JQ1	C23H25ClN4O2S	457	DNVXATUJJDPFDM-KRWDZBQOSA-N	(S)-(+)-tert-Butyl 2-(4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepin-6-yl)acetate	137113	1MRH0IMX0W	LSM-6332	""	""	DB17021	""	""								
CHEMBL3544960	24905401			AT13148		C17H16ClN3O	313.8	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	(S)-1-(4-(1H-Pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethanol	""	A49037RP1E	""	""	AT-13148,AT13148	""	""	""	INHIBITOR	1	1	4130	Rho-associated protein kinase inhibitor	CHEMBL2111459		CHEMBL3544960
CHEMBL3544960	24905401			AT13148		C17H16ClN3O	313.8	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	(S)-1-(4-(1H-Pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethanol	""	A49037RP1E	""	""	AT-13148,AT13148	""	""	""	INHIBITOR	1	1	4131	MAP kinase-activated protein kinase 2 inhibitor	CHEMBL2208		CHEMBL3544960
CHEMBL259181	42623900			QS11		C36H33N5O2	567.7	DOKZLKDGUQWMSX-HKBQPEDESA-N	(S)-2-((9-([1,1'-biphenyl]-4-ylmethyl)-2-((2,3-dihydro-1H-inden-5-yl)oxy)-9H-purin-6-yl)amino)-3-phenylpropan-1-ol	94469	""	LSM-5212	""	""	""	""	""								
CHEMBL494089	16725726			GSK690693		C21H27N7O3	425.5	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	(S)-4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-(piperidin-3-ylmethoxy)-1H-imidazo[4,5-c]pyridin-4-yl)-2-methylbut-3-yn-2-ol	90677	GWH480321B	""	""	GSK690693,GSK-690693,GSK 690693	DB12745	""	""	INHIBITOR	1	1	4228	Serine/threonine-protein kinase AKT inhibitor	CHEMBL2111353		CHEMBL494089
CHEMBL494089	16725726			GSK690693		C21H27N7O3	425.5	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	(S)-4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-(piperidin-3-ylmethoxy)-1H-imidazo[4,5-c]pyridin-4-yl)-2-methylbut-3-yn-2-ol	90677	GWH480321B	""	""	GSK690693,GSK-690693,GSK 690693	DB12745	""	""	INHIBITOR	1	1	4229	cAMP-dependent protein kinase (PKA) inhibitor	CHEMBL2094138		CHEMBL494089
CHEMBL494089	16725726			GSK690693		C21H27N7O3	425.5	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	(S)-4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-(piperidin-3-ylmethoxy)-1H-imidazo[4,5-c]pyridin-4-yl)-2-methylbut-3-yn-2-ol	90677	GWH480321B	""	""	GSK690693,GSK-690693,GSK 690693	DB12745	""	""	INHIBITOR	1	1	4230	Protein kinase C (PKC) inhibitor	CHEMBL2093867		CHEMBL494089
CHEMBL3613749	70983932			GSK2830371		C23H29ClN4O2S	461	IVDUVEGCMXCMSO-FQEVSTJZSA-N	(S)-5-(((5-Chloro-2-methylpyridin-3-yl)amino)methyl)-N-(3-cyclopentyl-1-(cyclopropylamino)-1-oxopropan-2-yl)thiophene-2-carboxamide	""	""	""	""	""	""	""	""								
CHEMBL2041933	11152667		AZD7762	AZD7762	AZD-7762	C17H19FN4O2S	362.4	IAYGCINLNONXHY-LBPRGKRZSA-N	(S)-5-(3-Fluorophenyl)-N-(piperidin-3-yl)-3-ureidothiophene-2-carboxamide	131156	5D822Y3L1H	LSM-45536	""	AZD7762,AZD 7762,AZD-7762	DB12242	""	""	INHIBITOR	1	1	4148	Serine/threonine-protein kinase Chk1 inhibitor	CHEMBL4630		CHEMBL2041933
CHEMBL1231124	16659841		AZD1480	AZD1480		C14H14ClFN8	348.76	PDOQBOJDRPLBQU-QMMMGPOBSA-N	(S)-5-chloro-N2-(1-(5-fluoropyrimidin-2-yl)ethyl)-N4-(5-methyl-1H-pyrazol-3-yl)pyrimidine-2,4-diamine	""	KL2Z2TLF01	LSM-45764	""	AZD-1480,AZD1480,AZD 1480	DB12588	""	""	INHIBITOR	1	2	4641	Tyrosine-protein kinase JAK2 inhibitor	CHEMBL2971		CHEMBL1231124
CHEMBL1774055	25099184			AZ960		C18H16F2N6	354.4	SUNXHXDJOIXABJ-NSHDSACASA-N	(S)-5-fluoro-2-((1-(4-fluorophenyl)ethyl)amino)-6-((5-methyl-1H-pyrazol-3-yl)amino)nicotinonitrile	""	M63IS9PTJF	""	""	""	""	""	""								
CHEMBL4303596	68947304			AMG-319		C21H16FN7	385.4	KWRYMZHCQIOOEB-LBPRGKRZSA-N	(S)-N-(1-(7-fluoro-2-(pyridin-2-yl)quinolin-3-yl)ethyl)-9H-purin-6-amine	""	19DG7G1U5Q	""	""	""	DB16879	""	""								
CHEMBL191482	6918848			AR-42		C18H20N2O3	312.4	LAMIXXKAWNLXOC-INIZCTEOSA-N	(S)-N-Hydroxy-4-(3-methyl-2-phenylbutanamido)benzamide	188197	E0GG29V0AQ	""	""	AR-42	DB12707	""	""								
CHEMBL1923233	11222830		WP1130			C19H18BrN3O	384.3	LIDOPKHSVQTSJY-VMEIHUARSA-N	(S,E)-3-(6-bromopyridin-2-yl)-2-cyano-N-(1-phenylbutyl)acrylamide	""	""	LSM-46178	""	""	""	""	""								
CHEMBL228043	54676905			LFM-A13		C11H8Br2N2O2	360	UVSVTDVJQAJIFG-VURMDHGXSA-N	(Z)-2-cyano-N-(2,5-dibromophenyl)-3-hydroxybut-2-enamide	183517	""	""	""	""	""	""	""								
CHEMBL3544966	23582824		GSK1059615	GSK1059615		C18H11N3O2S	333.4	QDITZBLZQQZVEE-YBEGLDIGSA-N	(Z)-5-((4-(pyridin-4-yl)quinolin-6-yl)methylene)thiazolidine-2,4-dione	""	07YMO87363	LSM-42798	""	GSK-1059615,GSK1059615	DB11962	""	""	INHIBITOR	1	1	4219	PI3-kinase class I inhibitor	CHEMBL3559703		CHEMBL3544966
CHEMBL3348923	25161177		MLN2480		MLN2480	C17H12Cl2F3N7O2S	506.3	VWMJHAFYPMOMGF-ZCFIWIBFSA-N	(r)-2-(1-(6-Amino-5-chloropyrimidine-4-carboxamido)ethyl)-n-(5-chloro-4-(trifluoromethyl)pyridin-2-yl)thiazole-5-carboxamide	167672	ZN90E4027M	LSM-45644	""	DAY101,TOVORAFENIB,BIIB-024,BIIB024,DAY-101,TAK-580,MLN-2480,TAK 580	DB15266	""	""	INHIBITOR	1	2	4286	RAF serine/threonine protein kinase inhibitor	CHEMBL3559685		CHEMBL3348923
CHEMBL406703	10109823			AS601245		C20H16N6S	372.4	RCYPVQCPYKNSTG-UHFFFAOYSA-N	1,3-Benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile	91345	Y9A2N9O85G	LSM-1034	""	""	""	""	""								
CHEMBL176544	9943465			GW441756		C17H13N3O	275.3	NXNQLECPAXXYTR-LCYFTJDESA-N	1,3-Dihydro-3-[(1-methyl-1H-indol-3-yl)methylene]-2H-pyrrolo[3,2-b]pyridin-2-one	""	""	""	""	""	""	""	""								
CHEMBL7064	8515		pyrazolanthrone			C14H8N2O	220.23	ACPOUJIDANTYHO-UHFFFAOYSA-N	1,9-Pyrazoloanthrone	90695	1TW30Y2766	LSM-1163	""	""	DB01782	""	""								
CHEMBL3739699	73010930			GSK2801		C20H21NO4S	371.5	KHWCPNJRJCNVRI-UHFFFAOYSA-N	1-(1-(2-(Methylsulfonyl)phenyl)-7-propoxyindolizin-3-yl)ethanone	""	""	""	""	""	""	""	""								
CHEMBL1088762	650361		ML083			C19H22N2O7S2	454.5	HMGDKYUJSFVHIY-UHFFFAOYSA-N	1-(2,3-Dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine	92774	""	LSM-2975	""	""	DB07697	""	""								
CHEMBL239767	3854666		SB-225002			C13H10BrN3O4	352.14	MQBZVUNNWUIPMK-UHFFFAOYSA-N	1-(2-Bromophenyl)-3-(2-hydroxy-4-nitrophenyl)urea	93074	""	LSM-3367	""	""	""	""	""								
CHEMBL374350	2858523		ML029			C28H39N3O3	465.6	CYCGGKILBWERDJ-UHFFFAOYSA-N	1-(3,5-di-tert-butyl-4-hydroxyphenyl)-2-(2-(3-hydroxypropylamino)-5,6-dimethyl-1H-benzo[d]imidazol-1-yl)ethanone	93053	Z744D8S6JG	LSM-3337	""	""	""	""	""								
CHEMBL3087498	56962337			SGC0946		C28H40BrN7O4	618.6	IQCKJUKAQJINMK-HUBRGWSESA-N	1-(3-((((2R,3S,4R,5R)-5-(4-Amino-5-bromo-7H-pyrrolo[2,3-d]pyrimidin-7-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl)(isopropyl)amino)propyl)-3-(4-(tert-butyl)phenyl)urea	""	""	""	""	""	""	""	""								
CHEMBL2169919	56962336			EPZ004777		C28H41N7O4	539.7	WXRGFPHDRFQODR-ICLZECGLSA-N	1-(3-((((2R,3S,4R,5R)-5-(4-Amino-7H-pyrrolo[2,3-d]pyrimidin-7-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl)(isopropyl)amino)propyl)-3-(4-(tert-butyl)phenyl)urea	124920	""	LSM-36364	""	""	""	""	""								
CHEMBL2346976	46893585			AZD3514		C25H32F3N7O2	519.6	JMEYDSHPKCSIJC-UHFFFAOYSA-N	1-(4-(2-(4-(1-(3-(Trifluoromethyl)-7,8-dihydro-[1,2,4]triazolo[4,3-b]pyridazin-6-yl)piperidin-4-yl)phenoxy)ethyl)piperazin-1-yl)ethanone	""	127DSS8X7J	LSM-45831	""	""	""	""	""	MODULATOR	1	1	4059	Androgen Receptor modulator	CHEMBL1871		CHEMBL2346976
CHEMBL3894518	76685059			AZD8835		C22H31N9O3	469.5	ZGRDYKFVDCFJCZ-UHFFFAOYSA-N	1-(4-(5-(5-Amino-6-(5-(tert-butyl)-1,3,4-oxadiazol-2-yl)pyrazin-2-yl)-1-ethyl-1H-1,2,4-triazol-3-yl)piperidin-1-yl)-3-hydroxypropan-1-one	""	8B97A88D35	""	""	AZD 8835,AZD8835,AZD-8835	""	""	""								
CHEMBL515416	16663089			CMK		C18H19ClN4O2	358.8	PELFTNQHGSITLB-UHFFFAOYSA-N	1-(4-Amino-7-(3-hydroxypropyl)-5-(p-tolyl)-7h-pyrrolo[2,3-d]pyrimidin-6-yl)-2-chloroethanone	""	""	""	""	""	""	""	""								
CHEMBL2171124	53469448			GSK2606414		C24H20F3N5O	451.4	SIXVRXARNAVBTC-UHFFFAOYSA-N	1-(5-(4-amino-7-methyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)indolin-1-yl)-2-(3-(trifluoromethyl)phenyl)ethanone	""	""	""	""	""	""	""	""								
CHEMBL2143829	44551660			CP466722		C17H15N7O2	349.3	ILBRKJBKDGCSCB-UHFFFAOYSA-N	1-(6,7-dimethoxyquinazolin-4-yl)-3-(pyridin-2-yl)-1H-1,2,4-triazol-5-amine	91330	""	LSM-1009	""	""	""	""	""								
CHEMBL189584	1401			PD173074		C28H41N7O3	523.7	DXCUKNQANPLTEJ-UHFFFAOYSA-N	1-(tert-Butyl)-3-(2-((4-(diethylamino)butyl)amino)-6-(3,5-dimethoxyphenyl)pyrido[2,3-d]pyrimidin-7-yl)urea	63448	A4TLL8634Y	LSM-1026	""	""	""	""	""								
CHEMBL2381520	71680916		BRD-K51490254			C14H12N2O3	256.26	NXHPVXNYPQJIOB-UHFFFAOYSA-N	1-N-hydroxy-3-N-phenylbenzene-1,3-dicarboxamide	125315	""	LSM-36786	""	""	""	""	""								
CHEMBL4642999	3129		PDMP			C23H38N2O3	390.6	UYNCFCUHRNOSCN-UHFFFAOYSA-N	1-Phenyl-2-decanoylamino-3-morpholino-1-propanol	156332	""	""	""	""	""	""	""								
CHEMBL300389	644215			CGP-60474		C18H18ClN5O	355.8	IYNDTACKOAXKBJ-UHFFFAOYSA-N	1-Propanol, 3-[[4-[2-[(3-chlorophenyl)amino]-4-pyrimidinyl]-2-pyridinyl]amino]-	91339	16IP6G5MLC	LSM-1025	""	""	""	""	""								
""	44498493		BRD-K16147474			C22H36N4O6S	484.6	IDOMJCFPTXQKSJ-YRNRMSPPSA-N	1-[(2R,3S)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl(methylsulfonyl)amino]methyl]-6-oxo-2,3,4,7-tetrahydro-1,5-benzoxazonin-9-yl]-3-propan-2-ylurea	111732	""	LSM-23146	""	""	""	""	""								
""	44487872		BRD-K04800985			C29H43N5O5	541.7	GCOOUUHDYUHFBZ-UYXZNNOOSA-N	1-[(2S,3R)-2-[[cyclohexylmethyl(methyl)amino]methyl]-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-8-yl]-3-(3,5-dimethyl-4-isoxazolyl)urea	123727	""	LSM-35169	""	""	""	""	""								
CHEMBL3183436	44484893		BRD-K01737880			C32H38N4O7	590.7	NGRSXEMLDRQNMH-LPBFERMMSA-N	1-[(2~{R},3~{S})-2-[[1,3-benzodioxol-5-ylmethyl(methyl)amino]methyl]-3-methyl-6-oxidanylidene-5-[(2~{S})-1-oxidanylpropan-2-yl]-3,4-dihydro-2~{H}-1,5-benzoxazocin-8-yl]-3-(4-methoxyphenyl)urea	103748	""	LSM-15092	""	""	""	""	""								
""	73707398		PL-DI			C37H43N3O10	689.7	RTMCABLCJUSQFP-QUMQEAAQSA-N	1-[(E)-3-[4-[2-[2-[2,6-dimethoxy-4-[(E)-3-oxo-3-(6-oxo-2,3-dihydropyridin-1-yl)prop-1-enyl]phenoxy]ethyl-methylamino]ethoxy]-3,5-dimethoxyphenyl]prop-2-enoyl]-2,3-dihydropyridin-6-one	""	""	LSM-43124	""	""	""	""	""								
