Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[tissue supergroup]	Characteristics[metatastic tissue]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Unit [age unit]	Characteristics[sex]	Characteristics[ethnicity]	Characteristics[media]	Characteristics[freeze media]	Comment[ENA_ALIAS]	Protocol REF	Extract Name	Comment[NOMINAL_LENGTH]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_SDEV]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
Sample 8	ERS395760	cell	Homo sapiens	NCBI Taxonomy	9606	SK-MEL-1	zone of skin	lymphatic tissue	zone of skin	metastatic melanoma	29	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586998	P-MTAB-39822	ERS395760 extract	178	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380222	sequencing assay	ERX380222	ERR413917_1	ERR413917	SK-MEL-1	zone of skin	metastatic melanoma
Sample 8	ERS395760	cell	Homo sapiens	NCBI Taxonomy	9606	SK-MEL-1	zone of skin	lymphatic tissue	zone of skin	metastatic melanoma	29	year	male	Caucasian	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	586998	P-MTAB-39822	ERS395760 extract	178	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380222	sequencing assay	ERX380222	ERR413917_2	ERR413917	SK-MEL-1	zone of skin	metastatic melanoma
Sample 9	ERS395765	cell	Homo sapiens	NCBI Taxonomy	9606	SK-MEL-30	zone of skin	not applicable	zone of skin	melanoma	67	year	male	Caucasian	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587001	P-MTAB-39822	ERS395765 extract	178	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380227	sequencing assay	ERX380227	ERR413922_1	ERR413922	SK-MEL-30	zone of skin	melanoma
Sample 9	ERS395765	cell	Homo sapiens	NCBI Taxonomy	9606	SK-MEL-30	zone of skin	not applicable	zone of skin	melanoma	67	year	male	Caucasian	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587001	P-MTAB-39822	ERS395765 extract	178	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380227	sequencing assay	ERX380227	ERR413922_2	ERR413922	SK-MEL-30	zone of skin	melanoma
Sample 10	ERS395444	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 936.T	zone of skin	not applicable	zone of skin	melanoma	not available	  	not available	not available	not determined	not determined	587003	P-MTAB-39822	ERS395444 extract	297	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379906	sequencing assay	ERX379906	ERR413601_1	ERR413601	Hs 936.T	zone of skin	melanoma
Sample 10	ERS395444	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 936.T	zone of skin	not applicable	zone of skin	melanoma	not available	  	not available	not available	not determined	not determined	587003	P-MTAB-39822	ERS395444 extract	297	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379906	sequencing assay	ERX379906	ERR413601_2	ERR413601	Hs 936.T	zone of skin	melanoma
Sample 11	ERS395213	cell	Homo sapiens	NCBI Taxonomy	9606	AGS	stomach	not applicable	stomach	gastric adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587005	P-MTAB-39822	ERS395213 extract	184	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379676	sequencing assay	ERX379676	ERR413371_1	ERR413371	AGS	stomach	gastric adenocarcinoma
Sample 11	ERS395213	cell	Homo sapiens	NCBI Taxonomy	9606	AGS	stomach	not applicable	stomach	gastric adenocarcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587005	P-MTAB-39822	ERS395213 extract	184	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379676	sequencing assay	ERX379676	ERR413371_2	ERR413371	AGS	stomach	gastric adenocarcinoma
Sample 12	ERS395664	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-N87	stomach	liver	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	587006	P-MTAB-39822	ERS395664 extract	183	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380126	sequencing assay	ERX380126	ERR413821_1	ERR413821	NCI-N87	stomach	gastric carcinoma
Sample 12	ERS395664	cell	Homo sapiens	NCBI Taxonomy	9606	NCI-N87	stomach	liver	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640 10% FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	587006	P-MTAB-39822	ERS395664 extract	183	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380126	sequencing assay	ERX380126	ERR413821_2	ERR413821	NCI-N87	stomach	gastric carcinoma
Sample 13	ERS395777	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-1	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587007	P-MTAB-39822	ERS395777 extract	180	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380239	sequencing assay	ERX380239	ERR413934_1	ERR413934	SNU-1	stomach	gastric carcinoma
Sample 13	ERS395777	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-1	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587007	P-MTAB-39822	ERS395777 extract	180	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380239	sequencing assay	ERX380239	ERR413934_2	ERR413934	SNU-1	stomach	gastric carcinoma
Sample 14	ERS395787	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-5	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587008	P-MTAB-39822	ERS395787 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380249	sequencing assay	ERX380249	ERR413944_1	ERR413944	SNU-5	stomach	gastric carcinoma
Sample 14	ERS395787	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-5	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	RPMI-1640, 20% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587008	P-MTAB-39822	ERS395787 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380249	sequencing assay	ERX380249	ERR413944_2	ERR413944	SNU-5	stomach	gastric carcinoma
Sample 15	ERS395778	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-16	stomach	ascites	stomach	gastric carcinoma	33	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587009	P-MTAB-39822	ERS395778 extract	190	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380240	sequencing assay	ERX380240	ERR413935_1	ERR413935	SNU-16	stomach	gastric carcinoma
Sample 15	ERS395778	cell	Homo sapiens	NCBI Taxonomy	9606	SNU-16	stomach	ascites	stomach	gastric carcinoma	33	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587009	P-MTAB-39822	ERS395778 extract	190	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380240	sequencing assay	ERX380240	ERR413935_2	ERR413935	SNU-16	stomach	gastric carcinoma
Sample 16	ERS395439	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 746T	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587010	P-MTAB-39822	ERS395439 extract	182	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379901	sequencing assay	ERX379901	ERR413596_1	ERR413596	Hs 746T	stomach	gastric carcinoma
Sample 16	ERS395439	cell	Homo sapiens	NCBI Taxonomy	9606	Hs 746T	stomach	not applicable	stomach	gastric carcinoma	not available	  	not available	not available	DMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587010	P-MTAB-39822	ERS395439 extract	182	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379901	sequencing assay	ERX379901	ERR413596_2	ERR413596	Hs 746T	stomach	gastric carcinoma
Sample 17	ERS395192	cell	Homo sapiens	NCBI Taxonomy	9606	23132/87	stomach	not applicable	stomach	gastric adenocarcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587011	P-MTAB-39822	ERS395192 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379655	sequencing assay	ERX379655	ERR413350_1	ERR413350	23132/87	stomach	gastric adenocarcinoma
Sample 17	ERS395192	cell	Homo sapiens	NCBI Taxonomy	9606	23132/87	stomach	not applicable	stomach	gastric adenocarcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587011	P-MTAB-39822	ERS395192 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379655	sequencing assay	ERX379655	ERR413350_2	ERR413350	23132/87	stomach	gastric adenocarcinoma
Sample 18	ERS395358	cell	Homo sapiens	NCBI Taxonomy	9606	GTL-16	stomach	not applicable	stomach	gastric adenocarcinoma	62	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	587012	P-MTAB-39822	ERS395358 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379820	sequencing assay	ERX379820	ERR413515_1	ERR413515	GTL-16	stomach	gastric adenocarcinoma
Sample 18	ERS395358	cell	Homo sapiens	NCBI Taxonomy	9606	GTL-16	stomach	not applicable	stomach	gastric adenocarcinoma	62	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	90% FBS; 10% DMSO	587012	P-MTAB-39822	ERS395358 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379820	sequencing assay	ERX379820	ERR413515_2	ERR413515	GTL-16	stomach	gastric adenocarcinoma
Sample 19	ERS395682	cell	Homo sapiens	NCBI Taxonomy	9606	OCUM-1	stomach	not applicable	stomach	gastric adenocarcinoma	38	year	not available	Japanese	DMEM, 10% FBS, 2mM L-Glutamine, 0.5mM NaP	Complete growth medium, 90%; DMSO, 10%	587017	P-MTAB-39822	ERS395682 extract	205	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380144	sequencing assay	ERX380144	ERR413839_1	ERR413839	OCUM-1	stomach	gastric adenocarcinoma
Sample 19	ERS395682	cell	Homo sapiens	NCBI Taxonomy	9606	OCUM-1	stomach	not applicable	stomach	gastric adenocarcinoma	38	year	not available	Japanese	DMEM, 10% FBS, 2mM L-Glutamine, 0.5mM NaP	Complete growth medium, 90%; DMSO, 10%	587017	P-MTAB-39822	ERS395682 extract	205	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380144	sequencing assay	ERX380144	ERR413839_2	ERR413839	OCUM-1	stomach	gastric adenocarcinoma
Sample 20	ERS395559	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-1	stomach	not applicable	stomach	gastric adenosquamous carcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587019	P-MTAB-39822	ERS395559 extract	206	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380021	sequencing assay	ERX380021	ERR413716_1	ERR413716	MKN-1	stomach	gastric adenosquamous carcinoma
Sample 20	ERS395559	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-1	stomach	not applicable	stomach	gastric adenosquamous carcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587019	P-MTAB-39822	ERS395559 extract	206	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380021	sequencing assay	ERX380021	ERR413716_2	ERR413716	MKN-1	stomach	gastric adenosquamous carcinoma
Sample 21	ERS395562	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-74	stomach	not applicable	stomach	gastric adenocarcinoma	37	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587020	P-MTAB-39822	ERS395562 extract	183	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380024	sequencing assay	ERX380024	ERR413719_1	ERR413719	MKN-74	stomach	gastric adenocarcinoma
Sample 21	ERS395562	cell	Homo sapiens	NCBI Taxonomy	9606	MKN-74	stomach	not applicable	stomach	gastric adenocarcinoma	37	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587020	P-MTAB-39822	ERS395562 extract	183	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380024	sequencing assay	ERX380024	ERR413719_2	ERR413719	MKN-74	stomach	gastric adenocarcinoma
Sample 22	ERS395668	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-2	stomach	not applicable	stomach	gastric adenocarcinoma	56	year	female	not available	RPMI-1640, 15% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587021	P-MTAB-39822	ERS395668 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380130	sequencing assay	ERX380130	ERR413825_1	ERR413825	NUGC-2	stomach	gastric adenocarcinoma
Sample 22	ERS395668	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-2	stomach	not applicable	stomach	gastric adenocarcinoma	56	year	female	not available	RPMI-1640, 15% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587021	P-MTAB-39822	ERS395668 extract	186	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380130	sequencing assay	ERX380130	ERR413825_2	ERR413825	NUGC-2	stomach	gastric adenocarcinoma
Sample 23	ERS395669	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-3	stomach	not applicable	stomach	gastric adenocarcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587022	P-MTAB-39822	ERS395669 extract	203	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380131	sequencing assay	ERX380131	ERR413826_1	ERR413826	NUGC-3	stomach	gastric adenocarcinoma
Sample 23	ERS395669	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-3	stomach	not applicable	stomach	gastric adenocarcinoma	72	year	male	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587022	P-MTAB-39822	ERS395669 extract	203	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380131	sequencing assay	ERX380131	ERR413826_2	ERR413826	NUGC-3	stomach	gastric adenocarcinoma
Sample 24	ERS395670	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-4	stomach	not applicable	stomach	gastric adenocarcinoma	35	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587023	P-MTAB-39822	ERS395670 extract	216	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380132	sequencing assay	ERX380132	ERR413827_1	ERR413827	NUGC-4	stomach	gastric adenocarcinoma
Sample 24	ERS395670	cell	Homo sapiens	NCBI Taxonomy	9606	NUGC-4	stomach	not applicable	stomach	gastric adenocarcinoma	35	year	female	not available	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587023	P-MTAB-39822	ERS395670 extract	216	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380132	sequencing assay	ERX380132	ERR413827_2	ERR413827	NUGC-4	stomach	gastric adenocarcinoma
Sample 25	ERS395729	cell	Homo sapiens	NCBI Taxonomy	9606	RERF-GC-1B	stomach	not applicable	stomach	gastric carcinoma	41	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587024	P-MTAB-39822	ERS395729 extract	187	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380191	sequencing assay	ERX380191	ERR413886_1	ERR413886	RERF-GC-1B	stomach	gastric carcinoma
Sample 25	ERS395729	cell	Homo sapiens	NCBI Taxonomy	9606	RERF-GC-1B	stomach	not applicable	stomach	gastric carcinoma	41	year	male	Japanese	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	587024	P-MTAB-39822	ERS395729 extract	187	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX380191	sequencing assay	ERX380191	ERR413886_2	ERR413886	RERF-GC-1B	stomach	gastric carcinoma
Sample 26	ERS395332	cell	Homo sapiens	NCBI Taxonomy	9606	FU97	stomach	not applicable	stomach	gastric adenocarcinoma	66	year	male	Japanese	DMEM, 10% FBS and 10mg/L insulin	Complete growth medium, 90%; DMSO, 10%	587026	P-MTAB-39822	ERS395332 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379794	sequencing assay	ERX379794	ERR413489_1	ERR413489	FU97	stomach	gastric adenocarcinoma
Sample 26	ERS395332	cell	Homo sapiens	NCBI Taxonomy	9606	FU97	stomach	not applicable	stomach	gastric adenocarcinoma	66	year	male	Japanese	DMEM, 10% FBS and 10mg/L insulin	Complete growth medium, 90%; DMSO, 10%	587026	P-MTAB-39822	ERS395332 extract	199	other	0	TRANSCRIPTOMIC	RNA-Seq	PAIRED	P-MTAB-39821	GENENTECH	ERX379794	sequencing assay	ERX379794	ERR413489_2	ERR413489	FU97	stomach	gastric adenocarcinoma
